"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2215","Wrong credentials show 'Invalid credentials': both_wrong","tests.ui","Tue Sep 22 13:12:15 UTC 2026","passed","Tue Sep 22 13:12:17 UTC 2026","TestLogin","test_login","",""
"","2491","Wrong credentials show 'Invalid credentials': both_wrong","tests.ui","Tue Sep 22 13:11:52 UTC 2026","passed","Tue Sep 22 13:11:55 UTC 2026","TestLogin","test_login","",""
"","475","Dashboard heading is visible after login","tests.ui","Tue Sep 22 13:11:55 UTC 2026","passed","Tue Sep 22 13:11:55 UTC 2026","TestDashboard","test_dashboard","",""
"","742","Empty fields show 'Required' validation: empty_password","tests.ui","Tue Sep 22 13:12:02 UTC 2026","passed","Tue Sep 22 13:12:03 UTC 2026","TestLogin","test_login","",""
"","242","test_login_page_loads[chromium]","tests.ui","Tue Sep 22 13:12:25 UTC 2026","passed","Tue Sep 22 13:12:25 UTC 2026","","test_smoke","",""
"","309","test_login_page_loads[firefox]","tests.ui","Tue Sep 22 13:12:03 UTC 2026","passed","Tue Sep 22 13:12:03 UTC 2026","","test_smoke","",""
"","1499","Wrong credentials show 'Invalid credentials': wrong_username","tests.ui","Tue Sep 22 13:12:20 UTC 2026","passed","Tue Sep 22 13:12:21 UTC 2026","TestLogin","test_login","",""
"","2452","Wrong credentials show 'Invalid credentials': wrong_username","tests.ui","Tue Sep 22 13:11:56 UTC 2026","passed","Tue Sep 22 13:11:59 UTC 2026","TestLogin","test_login","",""
"","451","Sidebar navigation links are present","tests.ui","Tue Sep 22 13:12:00 UTC 2026","passed","Tue Sep 22 13:12:00 UTC 2026","TestDashboard","test_dashboard","",""
"","348","Empty fields show 'Required' validation: empty_username","tests.ui","Tue Sep 22 13:12:20 UTC 2026","passed","Tue Sep 22 13:12:20 UTC 2026","TestLogin","test_login","",""
"","625","Empty fields show 'Required' validation: empty_username","tests.ui","Tue Sep 22 13:11:58 UTC 2026","passed","Tue Sep 22 13:11:58 UTC 2026","TestLogin","test_login","",""
"","2408","Valid credentials redirect to dashboard","tests.ui","Tue Sep 22 13:11:59 UTC 2026","passed","Tue Sep 22 13:12:02 UTC 2026","TestLogin","test_login","",""
"","360","Empty fields show 'Required' validation: empty_password","tests.ui","Tue Sep 22 13:12:23 UTC 2026","passed","Tue Sep 22 13:12:23 UTC 2026","TestLogin","test_login","",""
"","2393","Wrong credentials show 'Invalid credentials': wrong_password","tests.ui","Tue Sep 22 13:11:51 UTC 2026","passed","Tue Sep 22 13:11:53 UTC 2026","TestLogin","test_login","",""
"","2345","Employee list table loads after navigating to PIM","tests.ui","Tue Sep 22 13:12:17 UTC 2026","passed","Tue Sep 22 13:12:19 UTC 2026","TestEmployeeList","test_employee_list","",""
"","1990","Valid credentials redirect to dashboard","tests.ui","Tue Sep 22 13:12:22 UTC 2026","passed","Tue Sep 22 13:12:24 UTC 2026","TestLogin","test_login","",""
"","694","Empty fields show 'Required' validation: both_empty","tests.ui","Tue Sep 22 13:12:01 UTC 2026","passed","Tue Sep 22 13:12:02 UTC 2026","TestLogin","test_login","",""
"","469","Sidebar navigation links are present","tests.ui","Tue Sep 22 13:12:22 UTC 2026","passed","Tue Sep 22 13:12:22 UTC 2026","TestDashboard","test_dashboard","",""
"","295","Empty fields show 'Required' validation: both_empty","tests.ui","Tue Sep 22 13:12:24 UTC 2026","passed","Tue Sep 22 13:12:24 UTC 2026","TestLogin","test_login","",""
"","3695","Employee list table loads after navigating to PIM","tests.ui","Tue Sep 22 13:11:52 UTC 2026","passed","Tue Sep 22 13:11:56 UTC 2026","TestEmployeeList","test_employee_list","",""
"","414","Dashboard heading is visible after login","tests.ui","Tue Sep 22 13:12:17 UTC 2026","passed","Tue Sep 22 13:12:17 UTC 2026","TestDashboard","test_dashboard","",""
"","2269","Wrong credentials show 'Invalid credentials': wrong_password","tests.ui","Tue Sep 22 13:12:15 UTC 2026","passed","Tue Sep 22 13:12:17 UTC 2026","TestLogin","test_login","",""
